Country,Original_id,Authors,Voting,Date,baseline_pred,mod_pred
EQUATORIAL GUINEA,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
KUWAIT,2256,"[""Côte d'Ivoire"", 'Equatorial Guinea', 'Ethiopia', 'France', 'Netherlands', 'Peru', 'Poland', 'Sweden', 'United Kingdom', 'United States']",Y,2018-12-13,Y,Y
CHINA,2270,['France'],Y,2019-03-29,A,Y
FRANCE,2270,['France'],Y,2019-03-29,Y,Y
RUSSIAN FEDERATION,2270,['France'],Y,2019-03-29,N,Y
UNITED KINGDOM,2270,['France'],Y,2019-03-29,Y,Y
UNITED STATES,2270,['France'],Y,2019-03-29,Y,Y
GERMANY,2270,['France'],Y,2019-03-29,Y,Y
INDONESIA,2270,['France'],Y,2019-03-29,Y,Y
POLAND,2270,['France'],Y,2019-03-29,Y,Y
PERU,2270,['France'],Y,2019-03-29,Y,Y
BELGIUM,2270,['France'],Y,2019-03-29,Y,Y
SOUTH AFRICA,2270,['France'],Y,2019-03-29,Y,Y
CÔTE D'IVOIRE,2270,['France'],Y,2019-03-29,Y,Y
EQUATORIAL GUINEA,2270,['France'],Y,2019-03-29,Y,Y
KUWAIT,2270,['France'],Y,2019-03-29,Y,Y
DOMINICAN REPUBLIC,2270,['France'],Y,2019-03-29,Y,Y
CHINA,2271,['United States'],Y,2019-04-10,N,Y
FRANCE,2271,['United States'],Y,2019-04-10,N,Y
RUSSIAN FEDERATION,2271,['United States'],Y,2019-04-10,N,Y
UNITED KINGDOM,2271,['United States'],Y,2019-04-10,N,Y
UNITED STATES,2271,['United States'],Y,2019-04-10,N,Y
GERMANY,2271,['United States'],Y,2019-04-10,Y,Y
INDONESIA,2271,['United States'],Y,2019-04-10,A,Y
POLAND,2271,['United States'],Y,2019-04-10,Y,Y
PERU,2271,['United States'],Y,2019-04-10,A,Y
BELGIUM,2271,['United States'],Y,2019-04-10,Y,Y
SOUTH AFRICA,2271,['United States'],Y,2019-04-10,A,Y
CÔTE D'IVOIRE,2271,['United States'],Y,2019-04-10,Y,Y
EQUATORIAL GUINEA,2271,['United States'],Y,2019-04-10,A,Y
KUWAIT,2271,['United States'],Y,2019-04-10,Y,Y
DOMINICAN REPUBLIC,2271,['United States'],Y,2019-04-10,A,Y
CHINA,2275,['United States'],Y,2019-04-30,N,Y
FRANCE,2275,['United States'],Y,2019-04-30,Y,Y
RUSSIAN FEDERATION,2275,['United States'],A,2019-04-30,N,Y
UNITED KINGDOM,2275,['United States'],Y,2019-04-30,Y,Y
UNITED STATES,2275,['United States'],Y,2019-04-30,Y,Y
GERMANY,2275,['United States'],Y,2019-04-30,Y,Y
INDONESIA,2275,['United States'],Y,2019-04-30,Y,Y
POLAND,2275,['United States'],Y,2019-04-30,Y,Y
PERU,2275,['United States'],Y,2019-04-30,Y,Y
BELGIUM,2275,['United States'],Y,2019-04-30,Y,Y
SOUTH AFRICA,2275,['United States'],A,2019-04-30,A,Y
CÔTE D'IVOIRE,2275,['United States'],Y,2019-04-30,A,Y
EQUATORIAL GUINEA,2275,['United States'],Y,2019-04-30,A,Y
KUWAIT,2275,['United States'],Y,2019-04-30,Y,Y
DOMINICAN REPUBLIC,2275,['United States'],Y,2019-04-30,Y,Y
CHINA,2278,['United States'],A,2019-05-30,N,Y
FRANCE,2278,['United States'],Y,2019-05-30,Y,Y
RUSSIAN FEDERATION,2278,['United States'],A,2019-05-30,N,Y
UNITED KINGDOM,2278,['United States'],Y,2019-05-30,Y,Y
UNITED STATES,2278,['United States'],Y,2019-05-30,Y,Y
GERMANY,2278,['United States'],Y,2019-05-30,Y,Y
INDONESIA,2278,['United States'],Y,2019-05-30,Y,Y
POLAND,2278,['United States'],Y,2019-05-30,Y,Y
PERU,2278,['United States'],Y,2019-05-30,Y,Y
BELGIUM,2278,['United States'],Y,2019-05-30,Y,Y
SOUTH AFRICA,2278,['United States'],A,2019-05-30,A,Y
CÔTE D'IVOIRE,2278,['United States'],A,2019-05-30,Y,Y
EQUATORIAL GUINEA,2278,['United States'],A,2019-05-30,A,Y
KUWAIT,2278,['United States'],Y,2019-05-30,Y,Y
DOMINICAN REPUBLIC,2278,['United States'],Y,2019-05-30,Y,Y
CHINA,2282,"['Albania', 'Angola', 'Argentina', 'Australia', 'Austria', 'Belgium', 'Bulgaria', 'Canada', 'Central African Republic', 'Costa Rica', ""Côte d'Ivoire"", 'Croatia', 'Cyprus', 'Czechia', 'Djibouti', 'Dominican Republic', 'Ecuador', 'Egypt', 'Equatorial Guinea', 'Estonia', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hungary', 'Iceland', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Japan', 'Kazakhstan', 'Kuwait', 'Latvia', 'Lebanon', 'Liechtenstein', 'Lithuania', 'Luxembourg', 'Malta', 'Mexico', 'Montenegro', 'Morocco', 'Netherlands', 'New Zealand', 'North Macedonia', 'Norway', 'Peru', 'Poland', 'Portugal', 'Qatar', 'Republic of Korea', 'Republic of Moldova', 'San Marino', 'Serbia', 'Sierra Leone', 'Slovakia', 'Slovenia', 'Somalia', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'Turkey', 'Ukraine', 'United Kingdom', 'United States']",Y,2019-06-20,Y,Y
